time_s,dominant_freq_hz
0.064,234.375
0.128,250.0
0.192,265.625
0.256,156.25
0.32,500.0
0.384,484.375
0.448,218.75
0.512,234.375
0.576,218.75
0.64,218.75
0.704,203.125
0.768,203.125
0.832,93.75
0.896,218.75
0.96,187.5
1.024,78.125
1.088,546.875
1.152,218.75
1.216,218.75
1.28,218.75
1.344,296.875
1.408,218.75
1.472,500.0
1.536,453.125
1.6,468.75
1.664,546.875
1.728,515.625
1.792,218.75
1.856,375.0
1.92,125.0
1.984,546.875
2.048,281.25
2.112,171.875
2.176,125.0
2.24,562.5
2.304,218.75
2.368,125.0
2.432,187.5
2.496,578.125
2.56,578.125
2.624,578.125
2.688,234.375
2.752,171.875
2.816,265.625
2.88,156.25
2.944,250.0
3.008,140.625
3.072,171.875
3.136,156.25
3.2,171.875
3.264,250.0
3.328,203.125
3.392,250.0
3.456,484.375
3.52,453.125
3.584,250.0
3.648,250.0
3.712,171.875
3.776,203.125
3.84,203.125
3.904,218.75
3.968,343.75
4.032,218.75
4.096,453.125
4.16,109.375
4.224,3156.25
4.288,250.0
4.352,234.375
4.416,234.375
4.48,218.75
4.544,218.75
4.608,109.375
4.672,234.375
4.736,2718.75
4.8,250.0
4.864,250.0
4.928,218.75
4.992,218.75
5.056,234.375
5.12,234.375
5.184,125.0
5.248,437.5
5.312,218.75
5.376,93.75
5.44,218.75
5.504,218.75
5.568,218.75
5.632,218.75
5.696,140.625
5.76,218.75
5.824,203.125
5.888,109.375
5.952,468.75
6.016,218.75
6.08,250.0
6.144,234.375
6.208,234.375
6.272,234.375
6.336,218.75
6.4,218.75
6.464,218.75
6.528,218.75
6.592,140.625
6.656,171.875
6.72,156.25
6.784,125.0
6.848,187.5
6.912,218.75
6.976,218.75
7.04,109.375
7.104,531.25
7.168,203.125
7.232,187.5
7.296,187.5
7.36,187.5
7.424,187.5
7.488,125.0
7.552,218.75
7.616,203.125
7.68,218.75
7.744,265.625
7.808,187.5
7.872,187.5
7.936,265.625
8.0,265.625
8.064,125.0
8.128,140.625
