time_s,dominant_freq_hz
0.042666666,8578.125
0.08533333,8976.5625
0.128,8953.125
0.17066666,8578.125
0.21333334,8742.1875
0.256,9023.4375
0.29866666,37476.562
0.34133333,37476.562
0.384,8718.75
0.42666668,8929.6875
0.46933332,8695.3125
0.512,8601.5625
0.55466664,37453.125
0.5973333,8625.0
0.64,8929.6875
0.68266666,8859.375
0.72533333,8812.5
0.768,8882.8125
0.8106667,8929.6875
0.85333335,8648.4375
0.896,8695.3125
0.93866664,8859.375
0.9813333,8953.125
1.024,9000.0
1.0666667,8742.1875
1.1093333,8601.5625
1.152,8953.125
1.1946666,8742.1875
1.2373333,8671.875
1.28,8882.8125
1.3226666,8718.75
1.3653333,37476.562
1.408,37523.438
1.4506667,8625.0
1.4933333,8835.9375
1.536,9023.4375
1.5786667,8812.5
1.6213334,37710.938
1.664,9000.0
1.7066667,8976.5625
1.7493334,9000.0
1.792,8625.0
1.8346666,8742.1875
1.8773333,8671.875
1.92,8835.9375
1.9626666,8835.9375
2.0053334,8812.5
2.048,8671.875
2.0906668,8695.3125
2.1333334,8976.5625
2.176,8718.75
2.2186666,8789.0625
2.2613332,9023.4375
2.304,8835.9375
2.3466666,8648.4375
2.3893332,8953.125
2.432,8578.125
2.4746666,37429.688
2.5173333,37406.25
2.56,37476.562
2.6026666,8812.5
2.6453333,8812.5
2.688,8671.875
2.7306666,38062.5
2.7733333,8695.3125
2.816,8789.0625
2.8586667,8601.5625
2.9013333,8976.5625
2.944,8718.75
2.9866667,8718.75
3.0293334,8976.5625
3.072,9000.0
3.1146667,8976.5625
3.1573334,8695.3125
3.2,8929.6875
3.2426667,8976.5625
3.2853334,8695.3125
3.328,8695.3125
3.3706667,8648.4375
3.4133334,8812.5
3.456,8648.4375
3.4986668,9023.4375
3.5413334,37476.562
3.584,37453.125
3.6266668,37500.0
3.6693332,8695.3125
3.712,8765.625
3.7546666,8882.8125
3.7973332,38203.125
3.84,8625.0
3.8826666,8625.0
3.9253333,8882.8125
3.968,9000.0
4.010667,8929.6875
4.0533333,8953.125
4.096,8742.1875
4.1386666,8625.0
4.1813335,8953.125
4.224,8835.9375
4.266667,8718.75
4.3093333,8671.875
4.352,8742.1875
4.3946667,8648.4375
4.437333,8906.25
4.48,8625.0
4.5226665,8742.1875
4.5653334,8882.8125
4.608,9000.0
4.6506667,37453.125
4.693333,37453.125
4.736,8578.125
4.7786665,8671.875
4.8213334,8718.75
4.864,8718.75
4.9066668,37289.062
4.949333,8976.5625
4.992,8625.0
5.0346665,8789.0625
5.0773335,8765.625
5.12,8671.875
5.162667,8929.6875
5.205333,8648.4375
5.248,8625.0
5.2906666,8648.4375
5.3333335,8578.125
5.376,8765.625
5.418667,8671.875
5.4613333,8671.875
5.504,8742.1875
5.5466666,8906.25
5.5893335,8976.5625
5.632,8812.5
5.674667,37500.0
5.7173333,37453.125
5.76,37453.125
5.8026667,8578.125
5.845333,8625.0
5.888,8953.125
5.9306664,36984.375
5.9733334,37898.438
6.016,8625.0
6.0586667,8789.0625
6.101333,8695.3125
6.144,8578.125
6.1866665,8835.9375
6.2293334,8976.5625
6.272,8671.875
6.3146667,8882.8125
6.357333,8718.75
6.4,9023.4375
6.4426665,9023.4375
6.4853334,8835.9375
6.528,8742.1875
6.570667,8718.75
6.613333,8882.8125
6.656,8882.8125
6.6986666,9000.0
6.7413335,8718.75
6.784,37500.0
6.826667,37453.125
6.8693333,8671.875
6.912,9000.0
6.9546666,8648.4375
6.9973335,8718.75
7.04,37664.062
7.082667,8976.5625
7.1253333,8671.875
7.168,8953.125
7.2106667,8789.0625
7.2533336,8671.875
7.296,8929.6875
7.3386664,8906.25
7.3813334,8578.125
7.424,8742.1875
7.4666667,8695.3125
7.509333,8648.4375
7.552,8765.625
7.5946665,8601.5625
7.6373334,8953.125
7.68,8953.125
7.7226667,8859.375
7.765333,8929.6875
7.808,8695.3125
7.8506665,37476.562
7.8933334,37453.125
7.936,8976.5625
7.978667,8835.9375
8.021334,8976.5625
8.064,8765.625
8.106667,8929.6875
8.149333,8718.75
8.192,8671.875
8.234667,8695.3125
8.277333,8742.1875
8.32,8906.25
8.362667,8835.9375
8.4053335,8953.125
8.448,8742.1875
8.490666,8882.8125
8.533334,8695.3125
8.576,8718.75
8.618667,8812.5
8.661333,8671.875
8.704,9000.0
8.746667,8859.375
8.789333,9000.0
8.832,8765.625
8.874666,8671.875
8.917334,37500.0
8.96,37429.688
9.002666,9000.0
9.045333,8812.5
9.088,8812.5
9.130667,37664.062
9.173333,37781.25
9.216,8812.5
9.258667,8835.9375
9.301333,9023.4375
9.344,8765.625
9.386666,8742.1875
9.429334,8742.1875
9.472,8601.5625
9.514667,8648.4375
9.557333,8695.3125
9.6,9000.0
9.642667,8953.125
9.685333,8648.4375
9.728,8578.125
9.770667,8835.9375
9.8133335,8625.0
9.856,8812.5
9.898666,8625.0
9.941334,8953.125
9.984,37476.562
10.026667,37476.562
10.069333,8789.0625
10.112,8859.375
10.154667,8882.8125
10.197333,37710.938
10.24,8625.0
10.282666,8929.6875
10.325334,8601.5625
10.368,8765.625
10.410666,8625.0
10.453333,8742.1875
10.496,8578.125
10.538667,8742.1875
10.581333,8859.375
10.624,9023.4375
10.666667,8718.75
10.709333,8765.625
10.752,8835.9375
10.794666,8765.625
10.837334,8695.3125
10.88,8835.9375
10.922667,8812.5
10.965333,8976.5625
